relative_path,filename,folder_hint,capture_at,primary_genre_guess,secondary_genre_guess,genre_confidence,duplicate_cluster_id,aesthetic_score,technical_score,uniqueness_score,ai_score,portfolio_role_guess,shortlist_flag,signature_flag
IMG_4051.jpg,IMG_4051.jpg,TempExport,,other,,0.3,c1c349cd222faf66:70308000,0.6368,0.5137,1.0,0.6281,archive,False,False
IMG_4549.jpg,IMG_4549.jpg,TempExport,,other,,0.3,dbe0e0eccdcd95b6:003c3e00,0.5491,0.6532,1.0,0.6279,archive,False,False
IMG_4218.jpg,IMG_4218.jpg,TempExport,,other,,0.3,e8ed69f3c52c9498:7c001038,0.556,0.6416,1.0,0.6278,archive,False,False
IMG_4490.jpg,IMG_4490.jpg,TempExport,,other,,0.3,5839b9b83399a321:08080008,0.548,0.6502,1.0,0.6268,archive,False,False
IMG_4279.jpg,IMG_4279.jpg,TempExport,,other,,0.3,ea2d2ec6c71f1e1e:ff070773,0.5501,0.6458,1.0,0.6265,archive,False,False
IMG_4257.jpg,IMG_4257.jpg,TempExport,,other,,0.3,fd2d46a7b7266460:01070373,0.5419,0.6573,1.0,0.6261,archive,False,False
IMG_4427.jpg,IMG_4427.jpg,TempExport,,other,,0.3,fe16a6a79fcec604:07031373,0.5325,0.6715,1.0,0.6259,archive,False,False
IMG_3943.jpg,IMG_3943.jpg,TempExport,,other,,0.3,1f0e24a49662219f:fffffffe,0.5626,0.6162,1.0,0.6241,archive,False,False
IMG_4169.jpg,IMG_4169.jpg,TempExport,,other,,0.3,c2c2769827bf3f3e:70701000,0.5664,0.6081,1.0,0.6236,archive,False,False
IMG_4574.jpg,IMG_4574.jpg,TempExport,,other,,0.3,37132b595b59595c:90c18800,0.5373,0.652,1.0,0.6229,archive,False,False
IMG_4546.jpg,IMG_4546.jpg,TempExport,,other,,0.3,f0c0c0e8ee061696:787c7c00,0.6043,0.5418,1.0,0.6222,archive,False,False
IMG_4803.jpg,IMG_4803.jpg,TempExport,,other,,0.3,392833ac8c71f7d7:8000ffff,0.5102,0.6879,1.0,0.6211,archive,False,False
IMG_4015-2.jpg,IMG_4015-2.jpg,TempExport,,other,,0.3,a6c99db7a5960e2c:ffffc751,0.515,0.6755,1.0,0.6199,archive,False,False
IMG_4161.jpg,IMG_4161.jpg,TempExport,,other,,0.3,8484b4d56f9f9cbc:60601000,0.5663,0.5929,1.0,0.6197,archive,False,False
IMG_4456.jpg,IMG_4456.jpg,TempExport,,other,,0.3,a4050505596b2703:ff0000c0,0.5283,0.6524,1.0,0.6194,archive,False,False
IMG_4255.jpg,IMG_4255.jpg,TempExport,,other,,0.3,ff2d46e7b7362620:07070373,0.5222,0.661,1.0,0.6191,archive,False,False
IMG_4571.jpg,IMG_4571.jpg,TempExport,,other,,0.3,1a19913834381c1c:c8e0c080,0.531,0.6468,1.0,0.6191,archive,False,False
IMG_4796.jpg,IMG_4796.jpg,TempExport,,other,,0.3,0c8b6b6ccc8c8c8c:ff670f04,0.5596,0.5963,1.0,0.6179,archive,False,False
IMG_4041.jpg,IMG_4041.jpg,TempExport,,other,,0.3,0706141213878c8c:c1c3028b,0.5341,0.6367,1.0,0.6178,archive,False,False
IMG_4230.jpg,IMG_4230.jpg,TempExport,,other,,0.3,495b333959064c18:00009888,0.5642,0.5868,1.0,0.6174,archive,False,False
IMG_4420.jpg,IMG_4420.jpg,TempExport,,other,,0.3,fd3ed69b6f278e8e:ff000369,0.5219,0.6541,1.0,0.6173,archive,False,False
IMG_4881.jpg,IMG_4881.jpg,TempExport,,other,,0.3,e0f1c1b1300ac103:fffffff8,0.5874,0.547,1.0,0.6167,archive,False,False
IMG_4097.jpg,IMG_4097.jpg,TempExport,,other,,0.3,3366e1cb6de99e9e:03133c78,0.5376,0.6178,1.0,0.6145,archive,False,False
IMG_4562.jpg,IMG_4562.jpg,TempExport,,other,,0.3,ad84a6a606bc2c6c:e4f01232,0.5214,0.6379,1.0,0.613,archive,False,False
IMG_4212.jpg,IMG_4212.jpg,TempExport,,other,,0.3,0b081b1015090c0f:c1c0c0c0,0.5784,0.5461,1.0,0.6129,archive,False,False
IMG_4315.jpg,IMG_4315.jpg,TempExport,,other,,0.3,138b87928cc58322:000140e0,0.5525,0.5852,1.0,0.6123,archive,False,False
IMG_4309.jpg,IMG_4309.jpg,TempExport,,other,,0.3,c2e362e0cae2c8cf:00003030,0.5638,0.5667,1.0,0.6122,archive,False,False
IMG_4040.jpg,IMG_4040.jpg,TempExport,,other,,0.3,0f0e141213978e8c:c1c3028b,0.5215,0.6308,1.0,0.6113,archive,False,False
IMG_2164.jpg,IMG_2164.jpg,TempExport,,other,,0.3,f0d0dad8f8f1e0e6:1c3c3c08,0.5329,0.6107,1.0,0.6108,archive,False,False
IMG_4217.jpg,IMG_4217.jpg,TempExport,,other,,0.3,1a6e694915113818:00000000,0.5599,0.5628,1.0,0.6097,archive,False,False
IMG_4006.jpg,IMG_4006.jpg,TempExport,,other,,0.3,608c060e0c7333a5:ffffe7e7,0.5744,0.534,1.0,0.6083,archive,False,False
IMG_4286.jpg,IMG_4286.jpg,TempExport,,other,,0.3,2caed7950e3f1c4f:07077f61,0.5574,0.5598,1.0,0.6079,archive,False,False
IMG_4302.jpg,IMG_4302.jpg,TempExport,,other,,0.3,a3a1e9e9cbc7c6c6:f0503828,0.6063,0.4772,1.0,0.6068,archive,False,False
IMG_4263.jpg,IMG_4263.jpg,TempExport,,other,,0.3,8936d6a6b7337240:ff020353,0.5444,0.5702,1.0,0.6053,archive,False,False
IMG_4497.jpg,IMG_4497.jpg,TempExport,,other,,0.3,f21b1939282ecae2:00080800,0.5569,0.5488,1.0,0.605,archive,False,False
IMG_4410.jpg,IMG_4410.jpg,TempExport,,other,,0.3,96fc189abac9d94d:03060c48,0.5101,0.6223,1.0,0.6046,archive,False,False
IMG_4487.jpg,IMG_4487.jpg,TempExport,,other,,0.3,d4dcd8d8284848e3:04040c00,0.5685,0.5248,1.0,0.6036,archive,False,False
IMG_4465.jpg,IMG_4465.jpg,TempExport,,other,,0.3,03016d2c23634300:00010000,0.4937,0.6437,1.0,0.6034,archive,False,False
